predicted_correctly	true_sentiment	predicted_sentiment	tweet_text
False	neg	pos	Fuzzball is more fun than AT&amp;T ;P http://fuzz-ball.com/twitter"
False	neg	pos	Today is a good day to dislike AT&amp;T. Vote out of office indeed
True	pos	pos	GOT MY WAVE SANDBOX INVITE! Extra excited! Too bad I have class now... but I'll play with it soon enough! #io2009 #wave"
True	neg	neg	looks like summize has gone down. too many tweets from WWDC perhaps?"
False	neu	neg	I hope the girl at work  buys my Kindle2"
False	neu	pos	Missed this insight-filled May column: One smart guy looking closely at why he's impressed with Kindle2 http://bit.ly/i0peY @wroush"
True	pos	pos	@sklososky Thanks so much!!! ...from one of your *very* happy Kindle2 winners ; ) I was so surprised
True	neg	neg	Man I kinda dislike Apple right now. Case in point: the iPhone 3GS. Wish there was a video recorder app. Please?? http://bit.ly/DZm1T"
True	pos	pos	@cwong08 I have a Kindle2 (&amp; Sony PRS-500). Like it! Physical device feels good. Font is nice. Pg turns are snappy enuf. UI a little klunky."
True	pos	pos	The #Kindle2 seems the best eReader
True	pos	pos	I have a google addiction. Thank you for pointing that out
False	neu	neg	@ruby_gem My primary debit card is Visa Electron."
False	neu	neg	Off to the bank to get my new visa platinum card"
False	neg	pos	dearest @google
False	neu	pos	has a date with bobby flay and gut fieri from food network"
True	pos	pos	Excited about seeing Bobby Flay and Guy Fieri tomorrow at the Great American Food &amp; Music Fest!"
True	pos	pos	Gonna go see Bobby Flay 2moro at Shoreline. Eat and drink. Gonna be good."
True	pos	pos	can't wait for the great american food and music festival at shoreline tomorrow.  mmm...katz pastrami and bobby flay. yes please."
False	pos	neg	My dad was in NY for a day
True	neg	neg	Fighting with LaTex. Again..."
True	neg	neg	@Iheartseverus we love you too and don't want you to die!!!!!!  Latex = the devil"
True	neg	neg	7 hours. 7 hours of inkscape crashing
False	neu	neg	How to Track Iran with Social Media: http://bit.ly/2BoqU"
True	neg	neg	Shit's hitting the fan in Iran...craziness indeed #iranelection"
False	neg	pos	Monday already. Iran may implode. Kitchen is a disaster. @annagoss seems happy. @sebulous had a nice weekend and @goldpanda is great. whoop."
False	neu	pos	Twitter Stock buzz: $AAPL $ES_F $SPY $SPX $PALM  (updated: 12:00 PM)"
True	pos	pos	getting ready to test out some burger receipes this weekend. Bobby Flay has some great receipes to try. Thanks Bobby."
False	neu	pos	@johncmayer is Bobby Flay joining you?"
True	pos	pos	i lam so in love with Bobby Flay... he is my favorite. RT @terrysimpson: @bflay you need a place in Phoenix. We have great peppers here!"
False	neg	pos	I just created my first LaTeX file from scratch. That didn't work out very well. (See @amandabittner 
True	pos	pos	using Linux and loving it - so much nicer than windows... Looking forward to using the wysiwyg latex editor!"
True	pos	pos	After using LaTeX a lot
False	neu	pos	Ask Programming: LaTeX or InDesign?: submitted by calcio1 [link] [1 comment] http://tinyurl.com/myfmf7"
False	neg	pos	On that note
True	pos	pos	Ahhh... back in a *real* text editing environment. I &lt;3 LaTeX."
True	neg	neg	Trouble in Iran
True	neg	neg	Reading the tweets coming out of Iran... The whole thing is terrifying and incredibly sad..."
